iter	Passed	Remaining
0	4	4665
1	9	4894
2	15	4992
3	20	5116
4	26	5207
5	31	5293
6	38	5394
7	43	5386
8	48	5307
9	53	5261
10	58	5259
11	63	5229
12	68	5210
13	75	5287
14	81	5356
15	86	5336
16	91	5316
17	97	5316
18	103	5318
19	108	5297
20	113	5302
21	118	5286
22	124	5269
23	128	5237
24	134	5255
25	140	5248
26	144	5225
27	150	5209
28	155	5192
29	160	5181
30	165	5162
31	170	5156
32	175	5143
33	180	5134
34	185	5116
35	191	5117
36	198	5154
37	205	5205
38	211	5209
39	217	5208
40	222	5201
41	227	5195
42	233	5186
43	238	5188
44	243	5173
45	249	5175
46	255	5173
47	259	5152
48	264	5135
49	269	5127
50	274	5107
51	279	5087
52	283	5072
53	289	5064
54	294	5052
55	299	5042
56	304	5035
57	310	5036
58	315	5030
59	320	5015
60	325	5008
61	330	5006
62	335	4997
63	341	4987
64	345	4974
65	350	4961
66	355	4949
67	360	4936
68	364	4922
69	369	4911
70	374	4902
71	380	4903
72	385	4900
73	391	4895
74	396	4892
75	402	4890
76	407	4885
77	413	4884
78	418	4876
79	423	4868
80	428	4857
81	433	4848
82	438	4841
83	443	4840
84	449	4834
85	454	4830
86	460	4836
87	467	4846
88	474	4861
89	480	4855
90	485	4850
91	490	4844
92	496	4839
93	501	4833
94	506	4825
95	511	4816
96	516	4810
97	521	4801
98	526	4793
99	532	4789
100	537	4782
101	542	4775
102	547	4768
103	552	4762
104	557	4754
105	563	4750
106	568	4743
107	573	4737
108	578	4732
109	584	4725
110	589	4717
111	593	4708
112	598	4699
113	603	4690
114	608	4683
115	613	4675
116	618	4670
117	625	4675
118	631	4674
119	637	4675
120	642	4669
121	648	4663
122	653	4658
123	658	4651
124	663	4645
125	669	4642
126	674	4638
127	680	4633
128	684	4623
129	690	4620
130	695	4616
131	700	4609
132	706	4603
133	711	4595
134	716	4590
135	721	4583
136	726	4575
137	731	4570
138	737	4566
139	743	4564
140	747	4553
141	752	4549
142	757	4541
143	762	4534
144	768	4530
145	772	4521
146	777	4512
147	783	4510
148	789	4511
149	795	4509
150	801	4506
151	807	4506
152	814	4506
153	820	4505
154	825	4501
155	831	4497
156	836	4491
157	841	4485
158	847	4484
159	853	4478
160	858	4473
161	864	4471
162	869	4467
163	874	4459
164	879	4452
165	884	4444
166	889	4436
167	894	4429
168	899	4421
169	904	4414
170	909	4409
171	915	4404
172	920	4399
173	925	4395
174	931	4390
175	936	4386
176	942	4381
177	947	4377
178	953	4372
179	958	4367
180	963	4361
181	968	4353
182	973	4346
183	978	4340
184	983	4333
185	988	4324
186	992	4316
187	998	4310
188	1003	4303
189	1008	4299
190	1013	4292
191	1018	4284
192	1022	4276
193	1027	4270
194	1032	4263
195	1038	4258
196	1043	4253
197	1048	4247
198	1054	4243
199	1059	4238
200	1064	4232
201	1069	4226
202	1074	4219
203	1079	4212
204	1084	4205
205	1089	4198
206	1094	4191
207	1099	4184
208	1104	4178
209	1109	4172
210	1115	4169
211	1120	4164
212	1125	4158
213	1131	4154
214	1136	4149
215	1142	4145
216	1148	4143
217	1154	4139
218	1159	4136
219	1165	4132
220	1172	4131
221	1177	4127
222	1183	4122
223	1188	4117
224	1194	4112
225	1199	4107
226	1204	4101
227	1211	4102
228	1216	4097
229	1222	4091
230	1227	4086
231	1232	4081
232	1238	4076
233	1243	4071
234	1250	4069
235	1255	4065
236	1261	4061
237	1268	4062
238	1276	4064
239	1283	4063
240	1289	4061
241	1294	4055
242	1300	4052
243	1306	4048
244	1311	4042
245	1317	4036
246	1322	4031
247	1328	4027
248	1333	4022
249	1338	4015
250	1344	4012
251	1349	4006
252	1354	3999
253	1359	3993
254	1365	3988
255	1369	3981
256	1374	3974
257	1379	3968
258	1385	3963
259	1390	3957
260	1395	3951
261	1400	3945
