Сортировка по позиции в рейтинге на дату: 01 Декабря 2016 г. (обновление по состоянию на 15 Декабря 2016 г.)
(A (2)) АЛЕФ-БАНК
(A (2)) ДАТАБАНК
(A (3)) ГОРБАНК
(A (3)) ИНТЕХБАНК
(A (3)) ПРИМОРЬЕ
(A (3)) РУБЛЕВ
(A (3)) СОЛИДАРНОСТЬ
(B++ (1)) УГЛЕМЕТБАНК
(B++ (2)) ВЕНЕЦ
(B++ (2)) ИТ БАНК
(B++ (3)) КУЗНЕЦКИЙ
(B++ (3)) ЭЛИТА
(B+) МТЕМПБАНК
(B+) РИТЦ БАНК
(B) БАЛТИНВЕСТБАНК
Сортировка по позиции в рейтинге на дату: 01 Ноября 2016 г. (обновление по состоянию на 15 Ноября 2016 г.)
(A (2)) АЛЕФ-БАНК
(A (2)) ДАТАБАНК
(A (3)) ГОРБАНК
(A (3)) ИНТЕХБАНК
(A (3)) РУБЛЕВ
(A (3)) СОЛИДАРНОСТЬ
(B++ (1)) УГЛЕМЕТБАНК
(B++ (2)) ВЕНЕЦ
(B++ (2)) ИТ БАНК
(B++ (2)) ПРИМОРЬЕ
(B++ (3)) КУЗНЕЦКИЙ
(B++ (3)) ЭЛИТА
(B+) МТЕМПБАНК
(B+) РИТЦ БАНК
(B) БАЛТИНВЕСТБАНК
Сортировка по позиции в рейтинге на дату: 01 Октября 2016 г. (обновление по состоянию на 17 Октября 2016 г.)
(A (2)) АЛЕФ-БАНК
(A (2)) ДАТАБАНК
(A (2)) ОБРАЗОВАНИЕ
(A (3)) ГОРБАНК
(A (3)) ИНТЕХБАНК
(A (3)) РУБЛЕВ
(A (3)) СОЛИДАРНОСТЬ
(B++ (1)) УГЛЕМЕТБАНК
(B++ (2)) ВЕНЕЦ
(B++ (2)) ИТ БАНК
(B++ (2)) ПРИМОРЬЕ
(B++ (3)) КУЗНЕЦКИЙ
(B++ (3)) ЭЛИТА
(B+) МТЕМПБАНК
(B+) РИТЦ БАНК
(B) БАЛТИНВЕСТБАНК
Сортировка по позиции в рейтинге на дату: 01 Сентября 2016 г. (обновление по состоянию на 15 Сентября 2016 г.)
(A (2)) АЛЕФ-БАНК
(A (2)) ДАТАБАНК
(A (2)) ОБРАЗОВАНИЕ
(A (2)) СОЛИДАРНОСТЬ
(A (3)) ГОРБАНК
(A (3)) ИНТЕХБАНК
(A (3)) РУБЛЕВ
(B++ (1)) УГЛЕМЕТБАНК
(B++ (2)) ВЕНЕЦ
(B++ (2)) ИТ БАНК
(B++ (2)) ПРИМОРЬЕ
(B++ (3)) КУЗНЕЦКИЙ
(B++ (3)) ЭЛИТА
(B+) МТЕМПБАНК
(B+) РИТЦ БАНК
(B) БАЛТИНВЕСТБАНК
