Сортировка по позиции в рейтинге на дату: 01 Февраля 2018 г. (обновление по состоянию на 02 Февраля 2018 г.)
(BBB+) ПЛАТЕЖНЫЙ ЦЕНТР
(BBB) БИНБАНК
(BBB-) АВАНГАРД
(BBB-) САРОВБИЗНЕСБАНК
(BBB-) СДМ-БАНК
(BBB-) СИНАРА
(BBB-) ЭКСПОБАНК
(BB+) КУБАНЬ КРЕДИТ
(BB+) МИНБАНК
(BB) ГАРАНТ-ИНВЕСТ
(BB) КОНТУР.БАНК
(BB) СПУРТ
(BB-) ТРОЙКА-Д БАНК
(B+) ВОРОНЕЖ
(B+) ЭКОНОМИЧЕСКИЙ СОЮЗ
(CCC+) ПОЙДЁМ!
(CCC) РИАБАНК
(D) АЙМАНИБАНК
Сортировка по позиции в рейтинге на дату: 01 Января 2018 г. (обновление по состоянию на 31 Января 2018 г.)
(BBB+) ПЛАТЕЖНЫЙ ЦЕНТР
(BBB) БИНБАНК
(BBB-) АВАНГАРД
(BBB-) САРОВБИЗНЕСБАНК
(BBB-) СДМ-БАНК
(BBB-) СИНАРА
(BBB-) ЭКСПОБАНК
(BB+) КУБАНЬ КРЕДИТ
(BB+) МИНБАНК
(BB) ГАРАНТ-ИНВЕСТ
(BB) КОНТУР.БАНК
(BB) СПУРТ
(BB-) ТРОЙКА-Д БАНК
(B+) ВОРОНЕЖ
(B+) ЭКОНОМИЧЕСКИЙ СОЮЗ
(CCC+) ПОЙДЁМ!
(CCC) РИАБАНК
(D) АЙМАНИБАНК
Сортировка по позиции в рейтинге на дату: 01 Декабря 2017 г. (обновление по состоянию на 26 Декабря 2017 г.)
(BBB+) ПЛАТЕЖНЫЙ ЦЕНТР
(BBB) БИНБАНК
(BBB-) АВАНГАРД
(BBB-) САРОВБИЗНЕСБАНК
(BBB-) СДМ-БАНК
(BBB-) СИНАРА
(BBB-) ЭКСПОБАНК
(BB+) КУБАНЬ КРЕДИТ
(BB+) МИНБАНК
(BB) ГАРАНТ-ИНВЕСТ
(BB) КОНТУР.БАНК
(BB) СПУРТ
(BB-) ТРОЙКА-Д БАНК
(B+) ВОРОНЕЖ
(B+) ЭКОНОМИЧЕСКИЙ СОЮЗ
(CCC+) ПОЙДЁМ!
(CCC) РИАБАНК
(D) АЙМАНИБАНК
Сортировка по позиции в рейтинге на дату: 01 Ноября 2017 г. (обновление по состоянию на 26 Ноября 2017 г.)
(BBB+) ПЛАТЕЖНЫЙ ЦЕНТР
(BBB) БИНБАНК
(BBB-) АВАНГАРД
(BBB-) САРОВБИЗНЕСБАНК
(BBB-) СДМ-БАНК
(BBB-) СИНАРА
(BBB-) ЭКСПОБАНК
(BB+) КУБАНЬ КРЕДИТ
(BB+) МИНБАНК
(BB) ГАРАНТ-ИНВЕСТ
(BB) КОНТУР.БАНК
(BB) СПУРТ
(BB-) ТРОЙКА-Д БАНК
(B+) ВОРОНЕЖ
(B+) ЭКОНОМИЧЕСКИЙ СОЮЗ
(CCC+) ПОЙДЁМ!
(CCC) РИАБАНК
(D) АЙМАНИБАНК
Сортировка по позиции в рейтинге на дату: 01 Октября 2017 г. (обновление по состоянию на 17 Октября 2017 г.)
(BBB+) ПЛАТЕЖНЫЙ ЦЕНТР
(BBB) БИНБАНК
(BBB-) АВАНГАРД
(BBB-) САРОВБИЗНЕСБАНК
(BBB-) СДМ-БАНК
(BBB-) СИНАРА
(BBB-) ЭКСПОБАНК
(BB+) КУБАНЬ КРЕДИТ
(BB+) МИНБАНК
(BB) ГАРАНТ-ИНВЕСТ
(BB) КОНТУР.БАНК
(BB) СПУРТ
(BB-) ТРОЙКА-Д БАНК
(B+) ВОРОНЕЖ
(B+) ЭКОНОМИЧЕСКИЙ СОЮЗ
(CCC+) ПОЙДЁМ!
(CCC) РИАБАНК
(D) АЙМАНИБАНК
Сортировка по позиции в рейтинге на дату: 01 Сентября 2017 г. (обновление по состоянию на 22 Сентября 2017 г.)
(BBB+) ПЛАТЕЖНЫЙ ЦЕНТР
(BBB) БИНБАНК
(BBB-) АВАНГАРД
(BBB-) САРОВБИЗНЕСБАНК
(BBB-) СДМ-БАНК
(BBB-) СИНАРА
(BBB-) ЭКСПОБАНК
(BB+) КУБАНЬ КРЕДИТ
(BB+) МИНБАНК
(BB) ГАРАНТ-ИНВЕСТ
(BB) КОНТУР.БАНК
(BB) СПУРТ
(BB-) ТРОЙКА-Д БАНК
(B+) ВОРОНЕЖ
(B+) ЭКОНОМИЧЕСКИЙ СОЮЗ
(CCC+) ПОЙДЁМ!
(CCC) РИАБАНК
(D) АЙМАНИБАНК
Сортировка по позиции в рейтинге на дату: 01 Августа 2017 г. (обновление по состоянию на 22 Августа 2017 г.)
(BBB+) ПЛАТЕЖНЫЙ ЦЕНТР
(BBB) БИНБАНК
(BBB-) АВАНГАРД
(BBB-) САРОВБИЗНЕСБАНК
(BBB-) СДМ-БАНК
(BBB-) СИНАРА
(BBB-) ЭКСПОБАНК
(BB+) КУБАНЬ КРЕДИТ
(BB+) МИНБАНК
(BB) ГАРАНТ-ИНВЕСТ
(BB) КОНТУР.БАНК
(BB) СПУРТ
(BB-) ТРОЙКА-Д БАНК
(B+) ВОРОНЕЖ
(B+) ЭКОНОМИЧЕСКИЙ СОЮЗ
(CCC+) ПОЙДЁМ!
(CCC) РИАБАНК
(D) АЙМАНИБАНК
Сортировка по позиции в рейтинге на дату: 01 Июля 2017 г. (обновление по состоянию на 22 Июля 2017 г.)
(BBB+) ПЛАТЕЖНЫЙ ЦЕНТР
(BBB) БИНБАНК
(BBB-) АВАНГАРД
(BBB-) САРОВБИЗНЕСБАНК
(BBB-) СДМ-БАНК
(BBB-) СИНАРА
(BBB-) ЭКСПОБАНК
(BB+) КУБАНЬ КРЕДИТ
(BB+) МИНБАНК
(BB) ГАРАНТ-ИНВЕСТ
(BB) КОНТУР.БАНК
(BB) СПУРТ
(BB-) ТРОЙКА-Д БАНК
(B+) ВОРОНЕЖ
(B+) ЭКОНОМИЧЕСКИЙ СОЮЗ
(CCC+) ПОЙДЁМ!
(CCC) РИАБАНК
(D) АЙМАНИБАНК
Сортировка по позиции в рейтинге на дату: 01 Июня 2017 г. (обновление по состоянию на 20 Июня 2017 г.)
(BBB+) ПЛАТЕЖНЫЙ ЦЕНТР
(BBB) БИНБАНК
(BBB-) АВАНГАРД
(BBB-) САРОВБИЗНЕСБАНК
(BBB-) СДМ-БАНК
(BBB-) СИНАРА
(BBB-) ЭКСПОБАНК
(BB+) КУБАНЬ КРЕДИТ
(BB+) МИНБАНК
(BB) ГАРАНТ-ИНВЕСТ
(BB) КОНТУР.БАНК
(BB) СПУРТ
(BB-) ТРОЙКА-Д БАНК
(B+) ВОРОНЕЖ
(B+) ЭКОНОМИЧЕСКИЙ СОЮЗ
(CCC+) ПОЙДЁМ!
(CCC) РИАБАНК
(D) АЙМАНИБАНК
Сортировка по позиции в рейтинге на дату: 01 Мая 2017 г. (обновление по состоянию на 19 Мая 2017 г.)
(BBB+) ПЛАТЕЖНЫЙ ЦЕНТР
(BBB) БИНБАНК
(BBB-) АВАНГАРД
(BBB-) САРОВБИЗНЕСБАНК
